"Lake, winter_female","Lake, winter_male","Lake, winter_sterile-male","Lake, summer_female","Lake, summer_male","Lake, summer_sterile-male",Tributary 1_female,Tributary 1_male,Tributary 1_sterile-male,Tributary 2_female,Tributary 2_male,Tributary 2_sterile-male
20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122607.09094,16143.2966366,0.0,2694.69590642,2694.69590642,0.0,13474.1785068,13473.4795321,0.0,343395.003744,1796.46393762,0.0
85537.061958,13045.0809701,0.0,14138.1505508,2176.56988027,0.0,70690.7258264,10882.8494013,0.0,19180.9772796,1451.04658685,0.0
82487.0500172,10546.8139477,0.0,11362.7106696,1759.3664497,0.0,56813.5525776,8796.83224852,0.0,54883.286382,1172.91096647,0.0
85390.907972,8529.25710691,0.0,10766.0358954,1422.64607549,0.0,53830.1757478,7113.23037743,0.0,75417.1110262,948.430716991,0.0
86362.3493728,6898.71307191,0.0,11014.0719169,1150.60027163,0.0,55070.3542053,5753.00135813,0.0,74308.8776238,767.066847751,0.0
87824.6124197,5580.4141249,0.0,11149.6089121,930.68865487,0.0,55748.0392816,4653.44327435,0.0,76488.5436357,620.459103247,0.0
89134.6984683,4514.3125918,0.0,11331.9824544,752.865828243,0.0,56659.906828,3764.32914121,0.0,77351.6450765,501.910552162,0.0
90361.7824592,3652.03356135,0.0,11502.8101548,609.049546471,0.0,57514.0452718,3045.24773235,0.0,78138.7414395,406.033030981,0.0
91428.0905193,2954.54175997,0.0,11663.2176494,492.722557035,0.0,58316.0826917,2463.61278518,0.0,78599.7932779,328.48170469,0.0
92337.6690043,2390.30870842,0.0,11804.2434359,398.623081667,0.0,59021.2115961,1993.11540833,0.0,78910.5052568,265.748721111,0.0
93094.7925766,1933.8545529,0.0,11925.2057225,322.499866621,0.0,59626.023012,1612.49933311,0.0,79100.6303938,214.999911081,0.0
93717.2125314,1564.58019815,0.0,12026.4258611,260.916555981,0.0,60132.1236963,1304.5827799,0.0,79222.1380063,173.944370654,0.0
94223.915048,1265.82842714,0.0,12109.9185542,211.09467703,0.0,60549.5871577,1055.47338515,0.0,79299.7879009,140.729784687,0.0
94634.1654806,1024.12742785,0.0,12178.0606134,170.787253903,0.0,60890.2974521,853.936269513,0.0,79351.9482211,113.858169268,0.0
94965.2281116,828.580449445,0.0,12233.3207105,138.176897634,0.0,61166.5979371,690.884488169,0.0,79388.6563074,92.1179317559,0.0
95232.0002265,670.372925138,0.0,12277.9599742,111.793542208,0.0,61389.7942553,558.967711038,0.0,79415.9969889,74.5290281384,0.0
95446.8823302,542.374222533,0.0,12313.9504759,90.4479918435,0.0,61569.7467644,452.239959218,0.0,79437.2964097,60.298661229,0.0
95620.0182234,438.815727648,0.0,12342.9475832,73.1782149985,0.0,61714.7323008,365.891074992,0.0,79454.444296,48.7854766656,0.0
95759.6046584,355.030561467,0.0,12366.3122628,59.2059259744,0.0,61831.5556994,296.029629872,0.0,79468.5084655,39.4706173163,0.0
95872.2260794,287.243089745,0.0,12385.1480539,47.9014756297,0.0,61925.7346546,239.507378149,0.0,79480.1409905,31.9343170865,0.0
95963.156974,232.398678042,0.0,12400.3431991,38.7554566069,0.0,62001.7103807,193.777283035,0.0,79489.7777664,25.8369710713,0.0
96036.6209854,188.025984382,0.0,12412.6100044,31.3557364151,0.0,62063.0444072,156.778682075,0.0,79497.7451266,20.9038242767,0.0
96096.0032956,152.125563485,0.0,12422.5191027,25.3688793364,0.0,62112.5898987,126.844396682,0.0,79504.3081984,16.9125862243,0.0
96144.021342,123.079751008,0.0,12430.5278551,20.5251176435,0.0,62152.6336607,102.625588217,0.0,79509.6926583,13.6834117623,0.0
96182.8603505,99.579760176,0.0,12437.0033249,16.6061935499,0.0,62185.0110099,83.0309677493,0.0,79514.0935125,11.0707956999,0.0
96214.2804913,80.5667017556,0.0,12442.2405897,13.4355232577,0.0,62211.197334,67.1776162886,0.0,79517.6789756,8.95701550515,0.0
96239.7015692,65.1838674005,0.0,12446.4772476,10.8702394343,0.0,62232.3806235,54.3511971715,0.0,79520.5927812,7.24682628954,0.0
96260.2701258,52.7381249329,0.0,12449.9048906,8.79475328753,0.0,62249.5188383,43.9737664376,0.0,79522.9563345,5.86316885835,0.0
96276.9128,42.668685262,0.0,12452.6781941,7.11554599656,0.0,62263.385356,35.5777299828,0.0,79524.8710506,4.74369733104,0.0
96290.3789338,34.5218331515,51137.8427687,12454.9221414,5.75695471309,0.0,62274.6050926,28.7847735655,200000.0,79526.4208472,3.83796980873,0.0
74218.3273875,27.9304829608,60102.7288229,12456.7377868,4.65776320214,3055.55968339,62283.6833194,23.2888160107,215277.798417,8673.96854969,3.10517546809,2037.03978893
59827.0676304,22.5976380122,61898.7451509,9976.989859,3.76844347003,3656.33442767,49884.9492656,18.8422173501,218281.672138,7043.93263957,2.51229564668,2437.55628512
48451.5211141,18.2830081915,62261.1166396,8057.57939199,3.04892407262,3777.30653511,40287.896929,15.2446203631,218886.532676,5980.97496412,2.03261604841,2518.20435674
